iso3,year,esperance_vie,medecins,uhc,vaccination_dtp3,sante_mentale,services_veterinaires,maladies_animales,vaccination_animale,bien_etre_animal,faune_sauvage,qualite_air,qualite_eau,biodiversite,couverture_forestiere,traitement_eaux_usees,liberte_presse,surveillance_epidemiologique,partage_donnees,preparation_pandemies,gestion_crises
EGY,2026,,,,,,,,,,,,,,0.0451855944547692,,,,,,
ERI,2000,,,,,,,,,,,,,,11.0738613861386,,,,,,
ERI,2010,,,,,,,,,,,,,,8.97748379233609,,,,,,
ERI,2020,,,,,,,,,,,,,,8.71821523958664,,,,,,
ERI,2026,,,,,,,,,,,,,,8.63010013352237,,,,,,
ESP,2000,,,,,,,,,,,,,,34.256372745491,,,,,,
ESP,2010,,,,,,,,,,,,,,37.089938201236,,,,,,
ESP,2020,,,,,,,,,,,,,,37.1773054885498,,,,,,
ESP,2026,,,,,,,,,,,,,,37.1925889548355,,,,,,
EST,2000,,,,,,,,,,,,,,52.8164661476763,,,,,,
EST,2010,,,,,,,,,,,,,,55.1078084453881,,,,,,
EST,2020,,,,,,,,,,,,,,57.0385964912281,,,,,,
EST,2026,,,,,,,,,,,,,,57.0652937046572,,,,,,
ETH,2000,,,,,,,,,,,,,,18.5285,,,,,,
ETH,2010,,,,,,,,,,,,,,15.7708287737324,,,,,,
ETH,2020,,,,,,,,,,,,,,15.1239877246579,,,,,,
ETH,2026,,,,,,,,,,,,,,14.9308975782695,,,,,,
FIN,2000,,,,,,,,,,,,,,73.6913227617453,,,,,,
FIN,2010,,,,,,,,,,,,,,73.1885488647581,,,,,,
FIN,2020,,,,,,,,,,,,,,73.7283674409423,,,,,,
FIN,2026,,,,,,,,,,,,,,73.7235162521384,,,,,,
FJI,2000,,,,,,,,,,,,,,55.0886699507389,,,,,,
FJI,2010,,,,,,,,,,,,,,58.7432950191571,,,,,,
FJI,2020,,,,,,,,,,,,,,62.3984674329502,,,,,,
FJI,2026,,,,,,,,,,,,,,63.4953475643131,,,,,,
FRA,2000,,,,,,,,,,,,,,28.3662677428333,,,,,,
FRA,2010,,,,,,,,,,,,,,30.4647926523796,,,,,,
FRA,2020,,,,,,,,,,,,,,32.0122460339549,,,,,,
FRA,2026,,,,,,,,,,,,,,32.4764820484275,,,,,,
FRO,2000,,,,,,,,,,,,,,0.0573065902578797,,,,,,
FRO,2010,,,,,,,,,,,,,,0.0573065902578797,,,,,,
FRO,2020,,,,,,,,,,,,,,0.0585651537335286,,,,,,
FRO,2026,,,,,,,,,,,,,,0.0583941605839416,,,,,,
FSM,2000,,,,,,,,,,,,,,91.2285714285714,,,,,,
FSM,2010,,,,,,,,,,,,,,91.6142857142857,,,,,,
FSM,2020,,,,,,,,,,,,,,92.0285714285714,,,,,,
FSM,2026,,,,,,,,,,,,,,92.1571428571429,,,,,,
GAB,2000,,,,,,,,,,,,,,91.9781115380137,,,,,,
GAB,2010,,,,,,,,,,,,,,91.7817751387434,,,,,,
GAB,2020,,,,,,,,,,,,,,91.3206814918306,,,,,,
GAB,2026,,,,,,,,,,,,,,91.1823650405558,,,,,,
GBR,2000,,,,,,,,,,,,,,12.2101434299177,,,,,,
GBR,2010,,,,,,,,,,,,,,12.6441532674741,,,,,,
GBR,2020,,,,,,,,,,,,,,13.1856322076634,,,,,,
GBR,2026,,,,,,,,,,,,,,13.2907130161617,,,,,,
GEO,2000,,,,,,,,,,,,,,39.7265793639373,,,,,,
GEO,2010,,,,,,,,,,,,,,40.6159159591308,,,,,,
GEO,2020,,,,,,,,,,,,,,40.6159159591308,,,,,,
GEO,2026,,,,,,,,,,,,,,40.6159159591308,,,,,,
GHA,2000,,,,,,,,,,,,,,38.8881515337963,,,,,,
GHA,2010,,,,,,,,,,,,,,34.9078403797135,,,,,,
GHA,2020,,,,,,,,,,,,,,35.0973937502747,,,,,,
GHA,2026,,,,,,,,,,,,,,35.1921958573042,,,,,,
GIB,2000,,,,,,,,,,,,,,0.0,,,,,,
GIB,2010,,,,,,,,,,,,,,0.0,,,,,,
GIB,2020,,,,,,,,,,,,,,0.0,,,,,,
GIB,2026,,,,,,,,,,,,,,0.0,,,,,,
GIN,2000,,,,,,,,,,,,,,28.1987628194693,,,,,,
GIN,2010,,,,,,,,,,,,,,26.7336806120788,,,,,,
GIN,2020,,,,,,,,,,,,,,25.1872049487221,,,,,,
GIN,2026,,,,,,,,,,,,,,24.6988442129253,,,,,,
GMB,2000,,,,,,,,,,,,,,35.3092885375494,,,,,,
