iso3,year,esperance_vie,medecins,uhc,vaccination_dtp3,sante_mentale,services_veterinaires,maladies_animales,vaccination_animale,bien_etre_animal,faune_sauvage,qualite_air,qualite_eau,biodiversite,couverture_forestiere,traitement_eaux_usees,liberte_presse,surveillance_epidemiologique,partage_donnees,preparation_pandemies,gestion_crises
CAN,2000,79.1668292682927,,82.0,,12.4529239,,,,,,,99.0407431516783,,38.7929818338782,,,,,,
CAN,2010,81.3221951219512,2.0384,87.0,,12.8931416,,208,4.72,,187,7.939737349,98.3876982516978,,38.7394705758349,,,,,,
CAN,2020,81.53,2.415,92.0,,11.644019,,505,0.0,,337,6.54771826,97.2384351929959,9.5,38.6955125094946,77.06231,15.29,,,,
CAN,2026,82.1080487804878,2.819,92.0,,9.441608268,,25,0.0,,26,9.243708809,96.890322656349,11.6,39.4617117321106,68.29610443,15.25,,,,
CHE,2000,79.6804878048781,3.51,81.0,,20.35450897,,,,,,,96.7000027210099,,30.2649701705926,,,,,,
CHE,2010,82.2463414634147,3.808,84.0,,14.49120045,,1706,0.0,,12,13.843496549,96.6999991311739,,31.2482719393317,,,,,,
CHE,2020,83.0,4.388,86.0,,13.69127986,,794,0.0,,62,8.902799506,96.7000003497305,12.0,32.1215359394659,99.20436,10.62,,,,
CHE,2026,84.4073170731707,4.477,87.0,,14.02485888,,7,0.0,,14,8.842711072,96.6999968881937,12.5,32.3827380818297,99.29097748,10.55,,,,
CHI,2000,78.8,,,,,,,,,,,,,4.19191919191919,,,,,,
CHI,2010,81.2,,,,,,,,,,,,,5.15151515151515,,,,,,
CHI,2020,80.9,,,,,,,,,,,,,5.15151515151515,,,,,,
CHI,2026,81.2,,,,,,,,,,,,,5.15151515151515,,,,,,
CHL,2000,77.128,,64.0,,10.64218053,,,,,,,91.4752558018568,,21.2728705691214,,,,,,
CHL,2010,79.095,1.423,73.0,,11.71632084,,138,0.0,,62,24.383966087,95.4638387534034,,22.4943378361658,,,,,,
CHL,2020,79.349,2.798,82.0,,8.257154151,,107582,0.0,,171,21.623860539,97.4125131422388,37.8,24.5152454733888,90.53275,27.31,,,,
CHL,2026,81.359,3.334,84.0,,7.692166171,,58,0.0,,276,21.834497421,97.8170551998161,37.9,25.0116461113584,87.88771057,27.89,,,,
CHN,2000,72.288,1.263,64.0,,15.48632376,,,,,,,,,18.8534727562839,,,,,,
CHN,2010,75.668,1.46,73.0,,10.58349896,,20427,100.0,,506,60.938467687,,,21.3683288541342,,,,,,
CHN,2020,78.019,2.385,83.0,,8.823970945,,11755,16.71,,20,33.704414925,,14.7,23.4313037309562,64.77986,78.48,,,,
CHN,2026,78.017,3.112,85.0,,8.945435132,,2,0.0,,0,32.438380118,,14.7,24.0319389958256,64.02632141,78.72,,,,
CIV,2000,51.393,,26.0,,5.917923312,,,,,,,25.3536971285304,,16.0202830188679,,,,,,
CIV,2010,55.282,,31.0,,7.933571202,,120,7.75,,0,31.341974949,30.2900223956178,,12.4703773584906,,,,,,
CIV,2020,60.14,0.153,43.0,,7.295302453,,49,0.0,,0,36.74281753,38.6664529242919,14.9,8.92047169811321,,28.94,,,,
CIV,2026,62.11,0.166,46.0,,7.391310765,,5,1.41,,0,36.741096869,36.4489381559953,14.9,7.85551603773585,18.46506882,28.87,,,,
CMR,2000,53.338,,32.0,,7.288974004,,,,,,,,,45.6886674705422,,,,,,
CMR,2010,56.965,0.087,35.0,,8.118560514,,136,16.13,,0,49.169994815,,,44.2141693638806,,,,,,
CMR,2020,61.674,0.098,47.0,,7.908929349,,66,0.0,,2,57.720510956,,10.9,43.02951069366,,43.28,,,,
CMR,2026,63.968,0.136,48.0,,8.496748393,,66,0.0,,2,56.968347701,,11.0,42.6741130925938,,43.78,,,,
COD,2000,51.887,,25.0,,7.755829028,,,,,,,12.2119796506951,,63.4741183476324,,,,,,
COD,2010,56.411,,33.0,,8.080972044,,3,99.31,,0,28.153953739,11.9890508232579,,60.5055027458592,,,,,,
COD,2020,60.428,,41.0,,8.154256702,,0,1.29,,0,30.268915672,11.1860219041653,13.8,55.6472067223925,12.26042,49.09,,,,
COD,2026,62.074,0.208,41.0,,8.76966981,,0,1.29,,0,30.271279894,11.8726481819387,14.9,54.1898572594341,15.77808475,48.59,,,,
COG,2000,55.371,,25.0,,12.0438155,,,,,,,27.9019108842136,,64.9926793557833,,,,,,
COG,2010,61.731,0.111,31.0,,8.025514955,,1,,,0,23.445237147,39.7738513632921,,64.6412884333821,,,,,,
COG,2020,64.391,,44.0,,6.55756734,,19,0.0,,0,26.610954076,45.6923155747464,33.3,64.2635431918009,,36.56,,,,
COG,2026,66.001,0.173,45.0,,6.712598984,,19,0.0,,0,28.745918491,45.8748419970802,34.2,64.1317715959004,,38.83,,,,
COL,2000,70.905,1.264,66.0,,5.118498744,,,,,,,67.7308209392541,,56.5439387111311,,,,,,
COL,2010,74.876,1.666,75.0,,3.892827969,,4022,2.65,,0,18.202411801,70.7393039027595,,54.806480396575,,,,,,
COL,2020,74.757,2.394,82.0,,4.814987999,,5029,0.0,,0,15.31607322,73.4205001577422,17.0,53.3050112663362,21.26281,42.66,,,,
COL,2026,77.913,2.535,82.0,,4.961829057,,10,0.0,,0,15.221296984,74.33929919179,26.5,52.7661596214511,17.20656776,43.74,,,,
COM,2000,58.941,,25.0,,6.885256884,,,,,,,,,22.3965609887157,,,,,,
COM,2010,62.747,,45.0,,6.347408207,,115,0.0,,0,12.047050921,,,20.0429876410532,,,,,,
COM,2020,65.756,0.441,54.0,,6.207773116,,,,,,12.448173311,,0.7,17.6894142933906,,29.77,,,,
COM,2026,67.023,0.424,52.0,,5.998295164,,115,0.0,,0,12.183252576,,0.7,16.9801182160129,,30.65,,,,
CPV,2000,68.117,,49.0,,12.24004816,,,,,,,,,9.8560794044665,,,,,,
CPV,2010,72.507,0.573,60.0,,14.59569512,,,,,,25.584021415,,,10.6004962779156,,,,,,
CPV,2020,73.818,0.725,69.0,,13.68751984,,,,,,33.734826076,,0.0,11.3449131513648,,20.15,,,,
CPV,2026,76.224,0.73,71.0,,14.89953439,,,,,,31.541521115,,0.2,11.5682382133995,,20.09,,,,
CRI,2000,77.317,1.322,76.0,,5.96663706,,,,,,,76.5574235444269,,55.9580885233059,,,,,,
CRI,2010,79.354,2.317,81.0,,6.516611532,,414,0.6,,0,20.145238797,79.1867894271423,,56.231884057971,,,,,,
CRI,2020,79.725,2.494,85.0,,6.362114998,,699,0.04,,0,16.208964185,80.5160488913946,4.8,59.4373286329808,23.27405,10.53,,,,
CRI,2026,80.996,2.687,84.0,,8.062089482,,1,0.04,,2,15.845409383,80.5000742430698,28.2,60.3991382687035,24.08607292,8.76,,,,
CUB,2000,75.922,5.941,74.0,,17.27066734,,,,,,,,,22.6722532588454,,,,,,
CUB,2010,77.876,6.772,81.0,,14.3612493,,744,3.33,,2,18.450299133,,,27.5460353250658,,,,,,
CUB,2020,77.407,9.291,85.0,,14.61270353,,80,0.0,,0,15.488645171,,6.7,31.233140655106,24.18225,63.81,,,,
CUB,2026,78.264,9.542,86.0,,13.79296748,,80,0.0,,0,13.092385085,,6.9,31.233140655106,32.60935974,63.94,,,,
CUW,2000,73.283,,,,,,,,,,,,,,,,,,,
CUW,2010,75.117,,,,,,,,,,,,,,,,,,,
CUW,2020,76.501,,,,,,,,,,,,0.3,0.157657657657658,,,,,,
CUW,2026,76.989,,,,,,,,,,,,0.3,0.157657657657658,,,,,,
CYM,2000,74.378,,,,,,,,,,,,,53.875,,,,,,
CYM,2010,76.069,,,,,,,,,,,,,53.0,,,,,,
CYM,2020,79.23,,,,,,,,,,,,0.1,53.0,,,,,,
CYM,2026,80.54,,,,,,,,,,,,0.1,52.4720833333333,,,,,,
CYP,2000,77.9,1.899,66.0,,1.924916584,,,,,,,96.3178376197116,,18.5725108225108,,,,,,
CYP,2010,80.632,2.127,70.0,,5.212459787,,1121,0.0,,4,22.135370644,97.6852911529032,,18.7056277056277,,,,,,
CYP,2020,81.23,3.197,75.0,,3.86484692,,1378,0.0,,0,15.022753171,99.6321882993373,11.2,18.6720779220779,67.18718,20.45,,,,
CYP,2026,81.821,3.556,76.0,,3.023157229,,121,0.0,,0,14.741333199,99.7211088299984,11.1,18.6655844155844,72.71961975,19.85,,,,
CZE,2000,74.9682926829268,3.38,77.0,,16.33128997,,,,,,,94.7072072649225,,34.1308399119969,,,,,,
CZE,2010,77.4243902439025,3.599,81.0,,15.09946602,,182,0.0,,324,20.125322117,97.0914965657722,,34.4086494885407,,,,,,
CZE,2020,78.2268292682927,4.153,82.0,,12.72752744,,84,0.0,,6,13.093036196,98.1482411807839,22.2,34.6779919254939,90.12544,23.57,,,,
CZE,2026,79.9780487804878,4.352,83.0,,13.32609903,,65,0.0,,151,11.516581842,98.1448728385564,21.9,34.7623883740408,91.45469666,23.38,,,,
DEU,2000,77.9268292682927,3.263,79.0,,14.42062647,,,,,,,99.842900598076,,32.5376128385155,,,,,,
DEU,2010,79.9878048780488,3.757,84.0,,13.23491623,,5658,0.0,,637,15.699182898,99.8815299511559,,32.7308718478354,,,,,,
DEU,2020,81.0414634146342,4.443,86.0,,12.86718406,,1808,0.0,,1760,9.893544571,99.9126487140159,38.8,32.6826755201923,99.26206,12.16,,,,
DEU,2026,80.7926829268293,4.534,87.0,,12.90285752,,2177,0.0,,4184,9.428149617,99.9172979459354,40.0,32.6789342643734,99.12252045,15.24,,,,
DJI,2000,56.734,,31.0,,5.282699016,,,,,,,,,0.241587575496117,,,,,,
DJI,2010,60.743,,39.0,,6.311279829,,2,0.0,,0,29.523154081,,,0.241587575496117,,,,,,
DJI,2020,64.2,,49.0,,7.886429992,,8,0.0,,0,28.276603281,,1.2,0.250215703192407,10.93394,76.73,,,,
DJI,2026,66.202,0.211,47.0,,7.963910122,,8,0.0,,0,28.724044429,,1.2,0.260724762726488,11.06700706,78.62,,,,
DMA,2000,71.715,,68.0,,,,,,,,,,,63.8266666666667,,,,,,
DMA,2010,71.68,,72.0,,,,,,,,10.293848228,,,63.8266666666667,,,,,,
DMA,2020,71.269,,76.0,,,,,,,,8.688148425,,0.6,63.8266666666667,,,,,,
DMA,2026,71.294,1.158,75.0,,,,,,,,7.37182716,,0.6,63.8266666666667,,,,,,
DNK,2000,76.5926829268293,2.913,74.0,,15.54266496,,,,,,,94.6038574433508,,14.29,,,,,,
DNK,2010,79.1,3.726,79.0,,11.69273319,,58,0.0,,0,12.594418582,96.8662231774352,,14.66225,,,,,,
DNK,2020,81.6024390243903,4.377,84.0,,10.89756286,,111,0.0,,175,8.81026755,99.9188299447384,17.9,15.711,95.94201,8.13,,,,
DNK,2026,82.2536585365854,4.498,85.0,,10.45852505,,142,0.0,,258,8.239837437,99.9188271389611,23.8,15.7815,98.96604156,8.57,,,,
DOM,2000,70.365,1.825,68.0,,4.138424546,,,,,,,42.0551891967046,,40.8294348996067,,,,,,
DOM,2010,72.039,,72.0,,4.180510582,,502,90.83,,5,50.79014666,43.8326055152035,,42.9128544814738,,,,,,
