Année,Semestre,Région mondiale,Pays,Division administrative,Maladie,Génotype/sérotype/sous-type,Catégorie animale,Event_id,Espèce,Outbreak_id,Nouveaux foyers,Sensibles,Unités de mesure,Cas,Mis à mort et éliminés,Abattus/mis a mort à des fins commerciales,Morts,Vaccinés
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Tous,-,"",-,1,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Peste équine  (Inf. par le virus de la)","not sampled",Domestique,-,"Equidés",-,-,-,Animal,3,0,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Peste équine  (Inf. par le virus de la)","not sampled",Tous,-,"",-,3,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Rage (Inf. par le virus de la)","",Domestique,-,"Chiens",-,-,-,Animal,2,1,0,1,704
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Rage (Inf. par le virus de la)","",Tous,-,"",-,2,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Anaplasmose bovine","",Domestique,-,"Bovins",-,-,-,Animal,3,0,0,3,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Anaplasmose bovine","",Tous,-,"",-,3,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Babésiose bovine","",Domestique,-,"Bovins",-,-,-,Animal,18,0,0,10,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Babésiose bovine","",Tous,-,"",-,8,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Brucella abortus (Inf. à)","",Domestique,-,"Bovins",-,-,-,Animal,654,257,0,0,12306
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Brucella abortus (Inf. à)","",Tous,-,"",-,45,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Cowdriose","",Domestique,-,"Caprins",-,-,-,Animal,39,0,0,38,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Cowdriose","",Domestique,-,"Ovins",-,-,-,Animal,10,0,0,10,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Cowdriose","",Domestique,-,"Bovins",-,-,-,Animal,1,0,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Mpumalanga","Cowdriose","",Tous,-,"",-,6,-,-,-,-,-,-,-
